f1_01[0] | type=Tx | kind=text | page=1 | object=365_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=36,684,445.65,698.001 | states= | onValues= | options=
f1_02[0] | type=Tx | kind=text | page=1 | object=366_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags= | maxLength=11 | rect=446.4,684,576,698.001 | states= | onValues= | options=
f1_03[0] | type=Tx | kind=text | page=1 | object=367_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=482.4,660.002,576,672.001 | states= | onValues= | options=
f1_04[0] | type=Tx | kind=text | page=1 | object=368_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,606.002,576,618.001 | states= | onValues= | options=
f1_05[0] | type=Tx | kind=text | page=1 | object=369_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,594,576,605.999 | states= | onValues= | options=
f1_06[0] | type=Tx | kind=text | page=1 | object=370_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,582.001,475.2,594 | states= | onValues= | options=
f1_07[0] | type=Tx | kind=text | page=1 | object=371_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,570.002,576,582.001 | states= | onValues= | options=
c1_1[0] | type=Btn | kind=checkbox | page=1 | object=372_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=273.6,560,281.6,568 | states=1,Off | onValues=1 | options=
c1_2[0] | type=Btn | kind=checkbox | page=1 | object=373_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=324,560,332,568 | states=1,Off | onValues=1 | options=
f1_08[0] | type=Tx | kind=text | page=1 | object=374_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,558,576,569.999 | states= | onValues= | options=
f1_09[0] | type=Tx | kind=text | page=1 | object=375_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,546.001,576,558 | states= | onValues= | options=
f1_10[0] | type=Tx | kind=text | page=1 | object=376_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,534.002,576,546.001 | states= | onValues= | options=
c1_3[0] | type=Btn | kind=checkbox | page=1 | object=407_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=448.8,524,456.8,532 | states=1,Off | onValues=1 | options=
f1_11[0] | type=Tx | kind=text | page=1 | object=408_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=151.2,510.001,223.2,522 | states= | onValues= | options=
f1_12[0] | type=Tx | kind=text | page=1 | object=378_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,510.001,576,522 | states= | onValues= | options=
f1_13[0] | type=Tx | kind=text | page=1 | object=406_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=414.4,486,478.4,497.999 | states= | onValues= | options=
f1_14[0] | type=Tx | kind=text | page=1 | object=380_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,474.001,481.65,486 | states= | onValues= | options=
f1_15[0] | type=Tx | kind=text | page=1 | object=381_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,462.002,481.65,474.001 | states= | onValues= | options=
f1_16[0] | type=Tx | kind=text | page=1 | object=382_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=414.4,450,478.4,461.999 | states= | onValues= | options=
f1_17[0] | type=Tx | kind=text | page=1 | object=383_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,438.001,481.65,450 | states= | onValues= | options=
f1_18[0] | type=Tx | kind=text | page=1 | object=384_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,426.002,481.65,438.001 | states= | onValues= | options=
f1_19[0] | type=Tx | kind=text | page=1 | object=385_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,414,481.65,425.999 | states= | onValues= | options=
f1_20[0] | type=Tx | kind=text | page=1 | object=386_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,402.001,481.65,414 | states= | onValues= | options=
f1_21[0] | type=Tx | kind=text | page=1 | object=387_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,390.002,481.65,402.001 | states= | onValues= | options=
f1_22[0] | type=Tx | kind=text | page=1 | object=388_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,378,481.65,389.999 | states= | onValues= | options=
f1_23[0] | type=Tx | kind=text | page=1 | object=389_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,366.001,481.65,378 | states= | onValues= | options=
f1_24[0] | type=Tx | kind=text | page=1 | object=390_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,342,481.65,353.999 | states= | onValues= | options=
f1_25[0] | type=Tx | kind=text | page=1 | object=391_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,330.001,481.65,342 | states= | onValues= | options=
f1_26[0] | type=Tx | kind=text | page=1 | object=392_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,318.002,481.65,330.001 | states= | onValues= | options=
f1_27[0] | type=Tx | kind=text | page=1 | object=393_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,306,481.65,317.999 | states= | onValues= | options=
f1_28[0] | type=Tx | kind=text | page=1 | object=394_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=410.4,294.001,481.65,306 | states= | onValues= | options=
