f1_31[0] | type=Tx | page=1 | object=814_0 | value= | default= | flags=8388608 | maxLength= | rect=145,471.002,251.25,483.001 | states= | options=
f1_32[0] | type=Tx | page=1 | object=815_0 | value= | default= | flags=8388608 | maxLength= | rect=253,471.002,359.25,483.001 | states= | options=
f1_33[0] | type=Tx | page=1 | object=816_0 | value= | default= | flags=8388608 | maxLength= | rect=361,471.002,467.25,483.001 | states= | options=
f1_34[0] | type=Tx | page=1 | object=817_0 | value= | default= | flags=8388608 | maxLength= | rect=469,471.002,576,483.001 | states= | options=
f1_35[0] | type=Tx | page=1 | object=810_0 | value= | default= | flags=8388608 | maxLength= | rect=145,459.003,251.25,471.002 | states= | options=
f1_36[0] | type=Tx | page=1 | object=811_0 | value= | default= | flags=8388608 | maxLength= | rect=253,459.003,359.25,471.002 | states= | options=
f1_37[0] | type=Tx | page=1 | object=812_0 | value= | default= | flags=8388608 | maxLength= | rect=361,459.003,467.25,471.002 | states= | options=
f1_38[0] | type=Tx | page=1 | object=813_0 | value= | default= | flags=8388608 | maxLength= | rect=469,459.003,576,471.002 | states= | options=
f1_39[0] | type=Tx | page=1 | object=806_0 | value= | default= | flags=25165824 | maxLength=9 | rect=145,447.004,251.25,459.003 | states= | options=
f1_40[0] | type=Tx | page=1 | object=807_0 | value= | default= | flags=25165824 | maxLength=9 | rect=253,447.004,359.25,459.003 | states= | options=
f1_41[0] | type=Tx | page=1 | object=808_0 | value= | default= | flags=25165824 | maxLength=9 | rect=361,447.004,467.25,459.003 | states= | options=
f1_42[0] | type=Tx | page=1 | object=809_0 | value= | default= | flags=25165824 | maxLength=9 | rect=469,447.004,576,459.003 | states= | options=
f1_43[0] | type=Tx | page=1 | object=802_0 | value= | default= | flags=8388608 | maxLength= | rect=145,435.005,251.25,447.004 | states= | options=
f1_44[0] | type=Tx | page=1 | object=803_0 | value= | default= | flags=8388608 | maxLength= | rect=253,435.005,359.25,447.004 | states= | options=
f1_45[0] | type=Tx | page=1 | object=804_0 | value= | default= | flags=8388608 | maxLength= | rect=361,435.005,467.25,447.004 | states= | options=
f1_46[0] | type=Tx | page=1 | object=805_0 | value= | default= | flags=8388608 | maxLength= | rect=469,435.005,576,447.004 | states= | options=
c1_12[0] | type=Btn | page=1 | object=800_0 | value=Off | default= | flags= | maxLength= | rect=169.6,424.999,177.6,432.999 | states=1,Off | options=
c1_14[0] | type=Btn | page=1 | object=798_0 | value=Off | default= | flags= | maxLength= | rect=277.6,424.999,285.6,432.999 | states=1,Off | options=
c1_16[0] | type=Btn | page=1 | object=796_0 | value=Off | default= | flags= | maxLength= | rect=385.6,424.999,393.6,432.999 | states=1,Off | options=
c1_18[0] | type=Btn | page=1 | object=794_0 | value=Off | default= | flags= | maxLength= | rect=493.6,424.999,501.6,432.999 | states=1,Off | options=
c1_11[0] | type=Btn | page=1 | object=818_0 | value=Off | default= | flags= | maxLength= | rect=79.699,415.5,87.699,423.5 | states=1,Off | options=
c1_13[0] | type=Btn | page=1 | object=801_0 | value=Off | default= | flags= | maxLength= | rect=169.6,413,177.6,421 | states=1,Off | options=
c1_15[0] | type=Btn | page=1 | object=799_0 | value=Off | default= | flags= | maxLength= | rect=277.6,413,285.6,421 | states=1,Off | options=
c1_17[0] | type=Btn | page=1 | object=797_0 | value=Off | default= | flags= | maxLength= | rect=385.6,413,393.6,421 | states=1,Off | options=
c1_19[0] | type=Btn | page=1 | object=795_0 | value=Off | default= | flags= | maxLength= | rect=493.6,413,501.6,421 | states=1,Off | options=
c1_20[0] | type=Btn | page=1 | object=788_0 | value=Off | default= | flags= | maxLength= | rect=148,401.001,156,409.001 | states=1,Off | options=
c1_21[0] | type=Btn | page=1 | object=789_0 | value=Off | default= | flags= | maxLength= | rect=198.4,401.001,206.4,409.001 | states=1,Off | options=
c1_22[0] | type=Btn | page=1 | object=786_0 | value=Off | default= | flags= | maxLength= | rect=256,401.001,264,409.001 | states=1,Off | options=
c1_23[0] | type=Btn | page=1 | object=787_0 | value=Off | default= | flags= | maxLength= | rect=306.4,401.001,314.4,409.001 | states=1,Off | options=
c1_24[0] | type=Btn | page=1 | object=784_0 | value=Off | default= | flags= | maxLength= | rect=364,401.001,372,409.001 | states=1,Off | options=
