f1_21[0] | type=Tx | kind=text | page=1 | object=359_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,323.969,273.6,335.97 | states= | onValues= | options=
f1_22[0] | type=Tx | kind=text | page=1 | object=360_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,323.969,337.65,335.97 | states= | onValues= | options=
f1_23[0] | type=Tx | kind=text | page=1 | object=361_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,323.969,402.45,335.97 | states= | onValues= | options=
f1_24[0] | type=Tx | kind=text | page=1 | object=362_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,323.969,446.4,335.97 | states= | onValues= | options=
f1_25[0] | type=Tx | kind=text | page=1 | object=363_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,323.969,510.45,335.97 | states= | onValues= | options=
f1_26[0] | type=Tx | kind=text | page=1 | object=364_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,323.969,576,335.97 | states= | onValues= | options=
f1_27[0] | type=Tx | kind=text | page=1 | object=349_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,299.968,172.05,323.969 | states= | onValues= | options=
f1_28[0] | type=Tx | kind=text | page=1 | object=350_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,299.968,223.2,311.969 | states= | onValues= | options=
f1_29[0] | type=Tx | kind=text | page=1 | object=351_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,299.968,273.6,311.969 | states= | onValues= | options=
f1_30[0] | type=Tx | kind=text | page=1 | object=352_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,299.968,337.65,311.969 | states= | onValues= | options=
f1_31[0] | type=Tx | kind=text | page=1 | object=353_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,299.968,402.45,311.969 | states= | onValues= | options=
f1_32[0] | type=Tx | kind=text | page=1 | object=354_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,299.968,446.4,311.969 | states= | onValues= | options=
