f1_26[0] | type=Tx | kind=text | page=1 | object=262_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,216,576,228 | states= | onValues= | options=
f1_27[0] | type=Tx | kind=text | page=1 | object=255_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=288,191.999,359.25,204 | states= | onValues= | options=
f1_28[0] | type=Tx | kind=text | page=1 | object=256_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=360,191.999,431.25,204 | states= | onValues= | options=
f1_29[0] | type=Tx | kind=text | page=1 | object=257_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=432,191.999,503.25,204 | states= | onValues= | options=
f1_30[0] | type=Tx | kind=text | page=1 | object=258_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,191.999,576,204 | states= | onValues= | options=
f1_31[0] | type=Tx | kind=text | page=1 | object=251_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=288,167.998,359.25,179.999 | states= | onValues= | options=
f1_32[0] | type=Tx | kind=text | page=1 | object=252_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=360,167.998,431.25,179.999 | states= | onValues= | options=
f1_33[0] | type=Tx | kind=text | page=1 | object=253_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=432,167.998,503.25,179.999 | states= | onValues= | options=
f1_34[0] | type=Tx | kind=text | page=1 | object=254_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,167.998,576,179.999 | states= | onValues= | options=
f1_35[0] | type=Tx | kind=text | page=1 | object=247_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=288,143.997,359.25,155.998 | states= | onValues= | options=
f1_36[0] | type=Tx | kind=text | page=1 | object=248_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=360,143.997,431.25,155.998 | states= | onValues= | options=
f1_37[0] | type=Tx | kind=text | page=1 | object=249_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=432,143.997,503.25,155.998 | states= | onValues= | options=
f1_38[0] | type=Tx | kind=text | page=1 | object=250_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,143.997,576,155.998 | states= | onValues= | options=
f1_39[0] | type=Tx | kind=text | page=1 | object=238_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,120.002,576,132.001 | states= | onValues= | options=
f1_40[0] | type=Tx | kind=text | page=1 | object=239_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,108,576,119.999 | states= | onValues= | options=
f1_41[0] | type=Tx | kind=text | page=1 | object=240_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,96.001,576,108 | states= | onValues= | options=
f1_42[0] | type=Tx | kind=text | page=1 | object=241_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=507,72,573,83.999 | states= | onValues= | options=
f1_43[0] | type=Tx | kind=text | page=1 | object=242_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,48.002,576,60.001 | states= | onValues= | options=
f2_1[0] | type=Tx | kind=text | page=2 | object=283_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=489.6,696.002,576,708.001 | states= | onValues= | options=
c2_1[0] | type=Btn | kind=checkbox | page=2 | object=284_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=66.799,578,74.799,586 | states=1,Off | onValues=1 | options=
c2_1[1] | type=Btn | kind=checkbox | page=2 | object=285_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=66.799,566.001,74.799,574.001 | states=2,Off | onValues=2 | options=
f2_2[0] | type=Tx | kind=text | page=2 | object=286_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=489.6,528.001,576,540 | states= | onValues= | options=
f2_3[0] | type=Tx | kind=text | page=2 | object=287_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=489.6,492.001,576,504 | states= | onValues= | options=
c2_2[0] | type=Btn | kind=checkbox | page=2 | object=288_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=66.799,458.001,74.799,466.001 | states=1,Off | onValues=1 | options=
c2_2[1] | type=Btn | kind=checkbox | page=2 | object=289_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=66.799,422.001,74.799,430.001 | states=2,Off | onValues=2 | options=
f2_4[0] | type=Tx | kind=text | page=2 | object=290_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=492.6,360,573,371.999 | states= | onValues= | options=
c2_3[0] | type=Btn | kind=checkbox | page=2 | object=291_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=66.799,278.001,74.799,286.001 | states=1,Off | onValues=1 | options=
c2_3[1] | type=Btn | kind=checkbox | page=2 | object=224_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=66.799,242.001,74.799,250.001 | states=2,Off | onValues=2 | options=
